X1,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.Age,Answer.Education,Answer.Gender,Answer.Income,Answer.Party,Answer.Politics,Answer.comments,Answer.ethnic,Answer.origin,Approve,Reject,invite
12,3KG2UQJ0MJO2RHLWJOR1UOB2SH6QN7,3X2GEGK7X20T6VWBWEA9DSXPVXX44N,Prestudy for a study on moral opinions,Provide some background information in order to qualify for a series of HITs,"survey, demographics, research",$0.05,Fri May 15 05:29:53 PDT 2015,500,BatchId:1944384;,600,259200,Fri May 22 05:29:53 PDT 2015,NA,NA,3UXUOQ9OKEXOO0JM4NISXB6SLJ9A7A,A13E24T6Q6AJ8Z,Approved,Fri May 15 05:32:21 PDT 2015,Fri May 15 05:32:53 PDT 2015,Mon May 18 05:32:53 PDT 2015,2015-05-18 12:33:11 UTC,NA,NA,32,100% (1/1),100% (1/1),100% (1/1),26,Bachelors degree,Male,3,Democrat,1,NA,european|hispanic,us,NA,NA,1
13,3KG2UQJ0MJO2RHLWJOR1UOB2SH6QN7,3X2GEGK7X20T6VWBWEA9DSXPVXX44N,Prestudy for a study on moral opinions,Provide some background information in order to qualify for a series of HITs,"survey, demographics, research",$0.05,Fri May 15 05:29:53 PDT 2015,500,BatchId:1944384;,600,259200,Fri May 22 05:29:53 PDT 2015,NA,NA,392CY0QWG1R6BVK1EDCYBXA17PO4IO,A13TJ0P4X8HJ6Q,Approved,Fri May 15 05:30:37 PDT 2015,Fri May 15 05:31:10 PDT 2015,Mon May 18 05:31:10 PDT 2015,2015-05-18 12:33:10 UTC,NA,NA,33,100% (5/5),100% (2/2),100% (1/1),35,Bachelors degree,Female,4,Republican,6,NA,european,us,NA,NA,1
14,3KG2UQJ0MJO2RHLWJOR1UOB2SH6QN7,3X2GEGK7X20T6VWBWEA9DSXPVXX44N,Prestudy for a study on moral opinions,Provide some background information in order to qualify for a series of HITs,"survey, demographics, research",$0.05,Fri May 15 05:29:53 PDT 2015,500,BatchId:1944384;,600,259200,Fri May 22 05:29:53 PDT 2015,NA,NA,3RSDURM96AMATXWZ71AE67GGAXUYE8,A149MN8UN8O976,Submitted,Fri May 15 09:42:41 PDT 2015,Fri May 15 09:44:16 PDT 2015,Mon May 18 09:44:16 PDT 2015,NA,NA,NA,95,100% (3/3),0% (0/0),0% (0/0),32,Bachelors degree,Male,5,Democrat,2,NA,european|hispanic,us,NA,NA,0
15,3KG2UQJ0MJO2RHLWJOR1UOB2SH6QN7,3X2GEGK7X20T6VWBWEA9DSXPVXX44N,Prestudy for a study on moral opinions,Provide some background information in order to qualify for a series of HITs,"survey, demographics, research",$0.05,Fri May 15 05:29:53 PDT 2015,500,BatchId:1944384;,600,259200,Fri May 22 05:29:53 PDT 2015,NA,NA,3LQ8PUHQFLS0N78WTKWH5MJ5CVPIH5,A14QHWM66FV1K6,Submitted,Fri May 15 09:53:02 PDT 2015,Fri May 15 09:53:51 PDT 2015,Mon May 18 09:53:51 PDT 2015,NA,NA,NA,49,0% (0/0),0% (0/0),0% (0/0),53,"Some college, no degree",Female,2,Democrat,2,no,european,us,NA,NA,0
16,3KG2UQJ0MJO2RHLWJOR1UOB2SH6QN7,3X2GEGK7X20T6VWBWEA9DSXPVXX44N,Prestudy for a study on moral opinions,Provide some background information in order to qualify for a series of HITs,"survey, demographics, research",$0.05,Fri May 15 05:29:53 PDT 2015,500,BatchId:1944384;,600,259200,Fri May 22 05:29:53 PDT 2015,NA,NA,317HQ483I7SSX3U7WIRUA6G1Y7YINE,A14RBZNYHZ3CDU,Submitted,Fri May 15 09:31:57 PDT 2015,Fri May 15 09:40:00 PDT 2015,Mon May 18 09:40:00 PDT 2015,NA,NA,NA,483,0% (0/0),0% (0/0),0% (0/0),28,Some High School,Female,2,Independent,1,NA,european,us,NA,NA,0
17,3KG2UQJ0MJO2RHLWJOR1UOB2SH6QN7,3X2GEGK7X20T6VWBWEA9DSXPVXX44N,Prestudy for a study on moral opinions,Provide some background information in order to qualify for a series of HITs,"survey, demographics, research",$0.05,Fri May 15 05:29:53 PDT 2015,500,BatchId:1944384;,600,259200,Fri May 22 05:29:53 PDT 2015,NA,NA,3R5F3LQFV2KWAEJTX1FTPQJWKTXZOX,A14RL0RTNY8VO0,Approved,Fri May 15 07:01:22 PDT 2015,Fri May 15 07:02:00 PDT 2015,Mon May 18 07:02:00 PDT 2015,2015-05-18 14:03:11 UTC,NA,NA,38,100% (1/1),100% (1/1),100% (1/1),38,Associates degree,Female,5,Republican,5,no,european,us,NA,NA,1
18,3KG2UQJ0MJO2RHLWJOR1UOB2SH6QN7,3X2GEGK7X20T6VWBWEA9DSXPVXX44N,Prestudy for a study on moral opinions,Provide some background information in order to qualify for a series of HITs,"survey, demographics, research",$0.05,Fri May 15 05:29:53 PDT 2015,500,BatchId:1944384;,600,259200,Fri May 22 05:29:53 PDT 2015,NA,NA,32XVDSJFPZXI40V5VER2ABKK4KP2MJ,A14SDJ3ZSGV0FZ,Submitted,Fri May 15 08:36:00 PDT 2015,Fri May 15 08:36:58 PDT 2015,Mon May 18 08:36:58 PDT 2015,NA,NA,NA,58,100% (4/4),0% (0/0),0% (0/0),28,Bachelors degree,Female,9,Independent,2,NA,asian|european,us,NA,NA,0
19,3KG2UQJ0MJO2RHLWJOR1UOB2SH6QN7,3X2GEGK7X20T6VWBWEA9DSXPVXX44N,Prestudy for a study on moral opinions,Provide some background information in order to qualify for a series of HITs,"survey, demographics, research",$0.05,Fri May 15 05:29:53 PDT 2015,500,BatchId:1944384;,600,259200,Fri May 22 05:29:53 PDT 2015,NA,NA,3OONKJ5DKCJ0SGGDRNZQ38CTTRKOBR,A14XJC0LH835XR,Submitted,Fri May 15 09:54:27 PDT 2015,Fri May 15 09:55:31 PDT 2015,Mon May 18 09:55:31 PDT 2015,NA,NA,NA,64,0% (0/0),0% (0/0),0% (0/0),20,"Some college, no degree",Male,5,Independent,2,NA,european,us,NA,NA,0
20,3KG2UQJ0MJO2RHLWJOR1UOB2SH6QN7,3X2GEGK7X20T6VWBWEA9DSXPVXX44N,Prestudy for a study on moral opinions,Provide some background information in order to qualify for a series of HITs,"survey, demographics, research",$0.05,Fri May 15 05:29:53 PDT 2015,500,BatchId:1944384;,600,259200,Fri May 22 05:29:53 PDT 2015,NA,NA,3IFS6Q0HJIJPDGMC4E8G90Q7L53SIV,A15V45YHXFT4ST,Submitted,Fri May 15 08:39:55 PDT 2015,Fri May 15 08:40:37 PDT 2015,Mon May 18 08:40:37 PDT 2015,NA,NA,NA,42,0% (0/0),0% (0/0),0% (0/0),32,Associates degree,Male,4,No,5,NA,african,us,NA,NA,1
21,3KG2UQJ0MJO2RHLWJOR1UOB2SH6QN7,3X2GEGK7X20T6VWBWEA9DSXPVXX44N,Prestudy for a study on moral opinions,Provide some background information in order to qualify for a series of HITs,"survey, demographics, research",$0.05,Fri May 15 05:29:53 PDT 2015,500,BatchId:1944384;,600,259200,Fri May 22 05:29:53 PDT 2015,NA,NA,3KMS4QQVK2Q7F67EYXTTFHM5OJMFKY,A1656XNMB9ZP5,Approved,Fri May 15 05:33:20 PDT 2015,Fri May 15 05:34:25 PDT 2015,Mon May 18 05:34:25 PDT 2015,2015-05-18 12:38:14 UTC,NA,NA,65,100% (2/2),100% (2/2),100% (1/1),29,Bachelors degree,Female,2,Independent,3,NA,european,us,NA,NA,0
22,3KG2UQJ0MJO2RHLWJOR1UOB2SH6QN7,3X2GEGK7X20T6VWBWEA9DSXPVXX44N,Prestudy for a study on moral opinions,Provide some background information in order to qualify for a series of HITs,"survey, demographics, research",$0.05,Fri May 15 05:29:53 PDT 2015,500,BatchId:1944384;,600,259200,Fri May 22 05:29:53 PDT 2015,NA,NA,3X66WABAJWI7X8V2OB7CGG5FEC13GB,A16TESTJICU76L,Approved,Fri May 15 05:32:51 PDT 2015,Fri May 15 05:33:11 PDT 2015,Mon May 18 05:33:11 PDT 2015,2015-05-18 12:38:13 UTC,NA,NA,20,100% (39/39),100% (2/2),100% (1/1),25,Associates degree,Male,1,Independent,4,thanks,asian,us,NA,NA,1
23,3KG2UQJ0MJO2RHLWJOR1UOB2SH6QN7,3X2GEGK7X20T6VWBWEA9DSXPVXX44N,Prestudy for a study on moral opinions,Provide some background information in order to qualify for a series of HITs,"survey, demographics, research",$0.05,Fri May 15 05:29:53 PDT 2015,500,BatchId:1944384;,600,259200,Fri May 22 05:29:53 PDT 2015,NA,NA,3ZR9AIQJUB9V403LANNS5TA5LWM046,A171C7B6HHSEGH,Submitted,Fri May 15 09:32:51 PDT 2015,Fri May 15 09:33:12 PDT 2015,Mon May 18 09:33:12 PDT 2015,NA,NA,NA,21,100% (1/1),0% (0/0),0% (0/0),21,Associates degree,Male,3,Democrat,3,NA,african,us,NA,NA,0
24,3KG2UQJ0MJO2RHLWJOR1UOB2SH6QN7,3X2GEGK7X20T6VWBWEA9DSXPVXX44N,Prestudy for a study on moral opinions,Provide some background information in order to qualify for a series of HITs,"survey, demographics, research",$0.05,Fri May 15 05:29:53 PDT 2015,500,BatchId:1944384;,600,259200,Fri May 22 05:29:53 PDT 2015,NA,NA,3OONKJ5DKCJ0SGGDRNZQ38CTTRLBOF,A175ZTL2OZO9YU,Submitted,Fri May 15 10:05:37 PDT 2015,Fri May 15 10:06:37 PDT 2015,Mon May 18 10:06:37 PDT 2015,NA,NA,NA,60,100% (1/1),0% (0/0),0% (0/0),44,"Some college, no degree",Female,2,Republican,4,No further comments. Thank you!,european,us,NA,NA,1
25,3KG2UQJ0MJO2RHLWJOR1UOB2SH6QN7,3X2GEGK7X20T6VWBWEA9DSXPVXX44N,Prestudy for a study on moral opinions,Provide some background information in order to qualify for a series of HITs,"survey, demographics, research",$0.05,Fri May 15 05:29:53 PDT 2015,500,BatchId:1944384;,600,259200,Fri May 22 05:29:53 PDT 2015,NA,NA,3CPLWGV3MOZZM214SOLHXDHYFG89NH,A179UW7D2N5JOC,Submitted,Fri May 15 08:35:15 PDT 2015,Fri May 15 08:35:42 PDT 2015,Mon May 18 08:35:42 PDT 2015,NA,NA,NA,27,0% (0/0),0% (0/0),0% (0/0),22,Associates degree,Male,3,Democrat,2,NA,european,us,NA,NA,0
26,3KG2UQJ0MJO2RHLWJOR1UOB2SH6QN7,3X2GEGK7X20T6VWBWEA9DSXPVXX44N,Prestudy for a study on moral opinions,Provide some background information in order to qualify for a series of HITs,"survey, demographics, research",$0.05,Fri May 15 05:29:53 PDT 2015,500,BatchId:1944384;,600,259200,Fri May 22 05:29:53 PDT 2015,NA,NA,3OS46CRSLFZPCO8FW84WNKK9BI46VM,A17DWTJ8H30QQV,Submitted,Fri May 15 09:28:01 PDT 2015,Fri May 15 09:28:29 PDT 2015,Mon May 18 09:28:29 PDT 2015,NA,NA,NA,28,0% (0/0),0% (0/0),0% (0/0),20,"Some college, no degree",Female,4,Democrat,3,NA,european,us,NA,NA,0
27,3KG2UQJ0MJO2RHLWJOR1UOB2SH6QN7,3X2GEGK7X20T6VWBWEA9DSXPVXX44N,Prestudy for a study on moral opinions,Provide some background information in order to qualify for a series of HITs,"survey, demographics, research",$0.05,Fri May 15 05:29:53 PDT 2015,500,BatchId:1944384;,600,259200,Fri May 22 05:29:53 PDT 2015,NA,NA,33M4IA01QG1A2WBUOB8CM08QNGCXR0,A17MFEPFEPG9U8,Approved,Fri May 15 05:32:16 PDT 2015,Fri May 15 05:32:47 PDT 2015,Mon May 18 05:32:47 PDT 2015,2015-05-18 12:33:11 UTC,NA,NA,31,100% (5/5),100% (2/2),100% (1/1),23,Associates degree,Female,4,Democrat,2,NA,hispanic,do,NA,NA,0
28,3KG2UQJ0MJO2RHLWJOR1UOB2SH6QN7,3X2GEGK7X20T6VWBWEA9DSXPVXX44N,Prestudy for a study on moral opinions,Provide some background information in order to qualify for a series of HITs,"survey, demographics, research",$0.05,Fri May 15 05:29:53 PDT 2015,500,BatchId:1944384;,600,259200,Fri May 22 05:29:53 PDT 2015,NA,NA,3UXUOQ9OKEXOO0JM4NISXB6SLJJA7K,A17Y0LJ0OO8ODX,Approved,Fri May 15 07:33:00 PDT 2015,Fri May 15 07:33:29 PDT 2015,Mon May 18 07:33:29 PDT 2015,2015-05-18 14:38:16 UTC,NA,NA,29,100% (1/1),100% (1/1),100% (1/1),44,"Graduate degree (Masters, Doctorate, etc.)",Male,7,Independent,2,NA,european,uk,NA,NA,0
29,3KG2UQJ0MJO2RHLWJOR1UOB2SH6QN7,3X2GEGK7X20T6VWBWEA9DSXPVXX44N,Prestudy for a study on moral opinions,Provide some background information in order to qualify for a series of HITs,"survey, demographics, research",$0.05,Fri May 15 05:29:53 PDT 2015,500,BatchId:1944384;,600,259200,Fri May 22 05:29:53 PDT 2015,NA,NA,3483FV8BEEJGFXAD8YKLLFNYELG62L,A17ZMF7GGP6HKO,Submitted,Fri May 15 10:22:05 PDT 2015,Fri May 15 10:22:29 PDT 2015,Mon May 18 10:22:29 PDT 2015,NA,NA,NA,24,100% (1/1),0% (0/0),0% (0/0),22,Bachelors degree,Male,4,Independent,3,NA,european,us,NA,NA,0
30,3KG2UQJ0MJO2RHLWJOR1UOB2SH6QN7,3X2GEGK7X20T6VWBWEA9DSXPVXX44N,Prestudy for a study on moral opinions,Provide some background information in order to qualify for a series of HITs,"survey, demographics, research",$0.05,Fri May 15 05:29:53 PDT 2015,500,BatchId:1944384;,600,259200,Fri May 22 05:29:53 PDT 2015,NA,NA,33F859I566DQ0ZUQNA40JZFSH44HBS,A18G2CLYSTENK,Submitted,Fri May 15 09:27:23 PDT 2015,Fri May 15 09:31:12 PDT 2015,Mon May 18 09:31:12 PDT 2015,NA,NA,NA,229,100% (5/5),100% (1/1),0% (0/0),26,"Some college, no degree",Male,3,Independent,4,good survey,european,us,NA,NA,1
31,3KG2UQJ0MJO2RHLWJOR1UOB2SH6QN7,3X2GEGK7X20T6VWBWEA9DSXPVXX44N,Prestudy for a study on moral opinions,Provide some background information in order to qualify for a series of HITs,"survey, demographics, research",$0.05,Fri May 15 05:29:53 PDT 2015,500,BatchId:1944384;,600,259200,Fri May 22 05:29:53 PDT 2015,NA,NA,33M4IA01QG1A2WBUOB8CM08QNGORX6,A18WR19TKOAW6N,Submitted,Fri May 15 08:35:02 PDT 2015,Fri May 15 08:35:38 PDT 2015,Mon May 18 08:35:38 PDT 2015,NA,NA,NA,36,0% (0/0),0% (0/0),0% (0/0),22,Bachelors degree,Male,4,Other,0,NA,european,us,NA,NA,1
32,3KG2UQJ0MJO2RHLWJOR1UOB2SH6QN7,3X2GEGK7X20T6VWBWEA9DSXPVXX44N,Prestudy for a study on moral opinions,Provide some background information in order to qualify for a series of HITs,"survey, demographics, research",$0.05,Fri May 15 05:29:53 PDT 2015,500,BatchId:1944384;,600,259200,Fri May 22 05:29:53 PDT 2015,NA,NA,3WMINLGALB3U0HEIV4Q3DXY6MUDACG,A1922YIUI5MMUP,Submitted,Fri May 15 08:36:15 PDT 2015,Fri May 15 08:37:29 PDT 2015,Mon May 18 08:37:29 PDT 2015,NA,NA,NA,74,100% (6/6),100% (1/1),0% (0/0),61,Bachelors degree,Female,4,Independent,1,No,european,us,NA,NA,0
33,3KG2UQJ0MJO2RHLWJOR1UOB2SH6QN7,3X2GEGK7X20T6VWBWEA9DSXPVXX44N,Prestudy for a study on moral opinions,Provide some background information in order to qualify for a series of HITs,"survey, demographics, research",$0.05,Fri May 15 05:29:53 PDT 2015,500,BatchId:1944384;,600,259200,Fri May 22 05:29:53 PDT 2015,NA,NA,3T111IHZ5EQK10TWLV2Y6XM8GDX9R5,A19C6T7B0H4PAQ,Submitted,Fri May 15 08:36:32 PDT 2015,Fri May 15 08:36:53 PDT 2015,Mon May 18 08:36:53 PDT 2015,NA,NA,NA,21,100% (4/4),0% (0/0),0% (0/0),15,Bachelors degree,Male,4,Democrat,2,NA,european,us,NA,NA,0
34,3KG2UQJ0MJO2RHLWJOR1UOB2SH6QN7,3X2GEGK7X20T6VWBWEA9DSXPVXX44N,Prestudy for a study on moral opinions,Provide some background information in order to qualify for a series of HITs,"survey, demographics, research",$0.05,Fri May 15 05:29:53 PDT 2015,500,BatchId:1944384;,600,259200,Fri May 22 05:29:53 PDT 2015,NA,NA,3IKZ72A5B4G8NCSHVAL97939IE3NFN,A19CS1OXZSDDTT,Submitted,Fri May 15 08:38:03 PDT 2015,Fri May 15 08:39:00 PDT 2015,Mon May 18 08:39:00 PDT 2015,NA,NA,NA,57,100% (2/2),0% (0/0),0% (0/0),21,Some High School,Male,3,Democrat,3,none,hispanic,us,NA,NA,1
35,3KG2UQJ0MJO2RHLWJOR1UOB2SH6QN7,3X2GEGK7X20T6VWBWEA9DSXPVXX44N,Prestudy for a study on moral opinions,Provide some background information in order to qualify for a series of HITs,"survey, demographics, research",$0.05,Fri May 15 05:29:53 PDT 2015,500,BatchId:1944384;,600,259200,Fri May 22 05:29:53 PDT 2015,NA,NA,388U7OUMF712565JLZJ5DMLFD9ZR07,A19HCBT1EH8484,Approved,Fri May 15 07:06:56 PDT 2015,Fri May 15 07:10:00 PDT 2015,Mon May 18 07:10:00 PDT 2015,2015-05-18 14:13:13 UTC,NA,NA,184,100% (55/55),100% (1/1),100% (1/1),37,"Graduate degree (Masters, Doctorate, etc.)",Male,1,Democrat,4,NA,asian,in,NA,NA,0
36,3KG2UQJ0MJO2RHLWJOR1UOB2SH6QN7,3X2GEGK7X20T6VWBWEA9DSXPVXX44N,Prestudy for a study on moral opinions,Provide some background information in order to qualify for a series of HITs,"survey, demographics, research",$0.05,Fri May 15 05:29:53 PDT 2015,500,BatchId:1944384;,600,259200,Fri May 22 05:29:53 PDT 2015,NA,NA,358UUM7WRZ3GNH536Y4ES1V2LNA7RS,A19P9ZVK1QRRFC,Submitted,Fri May 15 08:35:45 PDT 2015,Fri May 15 08:36:39 PDT 2015,Mon May 18 08:36:39 PDT 2015,NA,NA,NA,54,100% (1/1),0% (0/0),0% (0/0),49,Associates degree,Female,6,Republican,6,NA,european,us,NA,NA,1
37,3KG2UQJ0MJO2RHLWJOR1UOB2SH6QN7,3X2GEGK7X20T6VWBWEA9DSXPVXX44N,Prestudy for a study on moral opinions,Provide some background information in order to qualify for a series of HITs,"survey, demographics, research",$0.05,Fri May 15 05:29:53 PDT 2015,500,BatchId:1944384;,600,259200,Fri May 22 05:29:53 PDT 2015,NA,NA,3PH3VY7DJLX4FNSVON636KWINV2WZC,A1AC3UAWAYXCST,Submitted,Fri May 15 08:51:05 PDT 2015,Fri May 15 08:51:30 PDT 2015,Mon May 18 08:51:30 PDT 2015,NA,NA,NA,25,100% (4/4),0% (0/0),0% (0/0),30,Bachelors degree,Female,6,Independent,4,NA,european,us,NA,NA,1
