issue,question,opinion,arg,counter_arg,workerid,belief_publicopinion,collection,age,gender,politics,party,ethnic,origin
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,6,6,348,NA,1,42,Female,2,Democrat,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,1|5,0|4|3|5,90,NA,1,34,Male,4,Independent,african|european|hispanic|other,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,4|0,1|5,194,NA,1,37,Male,6,Other,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,3|4|0,5,313,NA,1,26,Male,2,Independent,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,5|4,5,9,NA,1,21,Female,2,Democrat,african,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5|1|0,4,207,NA,1,35,Female,3,Democrat,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5,1,390,NA,1,32,Male,1,Democrat,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5,4|0,205,NA,1,30,Male,0,Independent,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,1,4,289,NA,1,28,Female,4,Independent,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5,0,358,NA,1,28,Male,4,Democrat,asian,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,1,4,135,NA,1,33,Female,1,Democrat,african,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5,4,219,NA,1,27,Male,4,Republican,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5|0,4|0,37,NA,1,34,Female,2,Democrat,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,4|0,1,283,NA,1,25,Male,2,Democrat,asian,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5,4,133,NA,1,39,Male,2,Democrat,asian,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5|1|0,4,394,NA,1,32,Female,4,Republican,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5,4,118,NA,1,42,Male,0,Other,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5,4,164,NA,1,26,Female,4,Independent,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5,5,421,NA,1,55,Male,5,Independent,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,1|5,4|0,275,NA,1,39,Female,3,Democrat,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,1|5,0|4|3,266,NA,1,32,Male,3,Democrat,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,0,5,215,NA,1,44,Male,7,Republican,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5,4,324,NA,1,37,Female,3,Democrat,african,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5,0|3|4,236,NA,1,27,Male,0,Independent,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5,0,95,NA,1,23,Male,5,Republican,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,0|1|5,2|4|3,367,NA,1,29,Female,4,Independent,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,1|5|0,1|5|4|0,352,NA,1,32,Female,4,Independent,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,0,5,371,NA,1,27,Male,7,Democrat,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,0|4,5|1,158,NA,1,46,Male,4,Democrat,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,1,4,5,NA,1,29,Male,4,Independent,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,2,4,104,NA,1,29,Male,6,Democrat,asian,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5,3|4|2,49,NA,1,51,Female,2,Democrat,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,0,5,302,NA,1,24,Female,3,Democrat,african,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,1,0,163,NA,1,32,Female,4,Independent,hispanic,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,1,4,341,NA,1,33,Female,3,Independent,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,4|0|1,0|1|5|3,294,NA,1,41,Male,5,Independent,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,1|5,3|4,368,NA,1,23,Female,5,Republican,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,0,5,113,NA,1,50,Male,6,Republican,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,3|0|6,5,406,NA,1,47,Female,7,Republican,european|hispanic|other,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5,3|4|0,116,NA,1,40,Male,5,Republican,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5,3|4|6,250,NA,1,21,Male,3,Democrat,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,1|5|0,4|3,397,NA,1,27,Female,1,Other,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,4,0,176,NA,1,25,Female,7,Republican,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,0|5|4,5|1,132,NA,1,37,Female,7,Republican,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,6,0|6,131,NA,1,68,Female,4,Independent,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,1|0|5,1|0,350,NA,1,48,Female,2,Democrat,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5,4|0,282,NA,1,38,Male,4,Independent,asian|european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,0,5,229,-1,2,50,Female,3,Democrat,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,1|5,4|3,2,1,2,38,Female,1,Democrat,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,0,1,299,0,2,43,Female,4,Independent,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,4,5,343,0,2,41,Female,6,Republican,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5|0,1,192,1,2,50,Male,4,Independent,asian,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,4,5,366,1,2,47,Male,7,Republican,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,4|0,1|5|0,227,1,2,55,Male,6,Republican,asian,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5,4,157,-1,2,25,Female,1,Independent,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,4|3,5,220,-1,2,28,Male,4,Independent,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5,0,269,1,2,37,Female,5,Independent,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,4,5,88,2,2,33,Male,7,Republican,african,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5,0,152,2,2,35,Female,4,Independent,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5|1,2|4,357,1,2,61,Female,1,Democrat,NA,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,3,1,15,1,2,43,Female,5,NA,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5,3,251,2,2,33,Male,5,Democrat,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,0,1,233,-1,2,50,Female,6,Republican,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,1|0|4,1|5,281,1,2,32,Female,6,Republican,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,0,5|1,27,-2,2,43,Female,4,Other,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,4,3|0|5,391,1,2,26,Male,5,Democrat,hispanic,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,1,0,51,-2,2,43,Female,4,Independent,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,4|0,0|5,322,1,2,35,Male,0,Independent,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,0|1|5,4,342,0,2,30,Female,4,Republican,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,0|1|5,4,325,1,2,49,Female,4,Republican,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5,4,126,-1,2,42,Male,6,Republican,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,4|1|0,5,359,2,2,32,Female,6,Republican,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5,6,19,1,2,28,Male,2,Democrat,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,0,1,264,2,2,34,Male,5,No,african,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,1,4,76,1,2,29,Female,4,No,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,1|5|0,4,134,1,2,34,Female,4,Independent,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,1|5|0,1|0|4,143,1,2,24,Male,2,Democrat,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,6,4|0,38,0,2,63,Male,2,Democrat,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,1,4,387,1,2,27,Male,4,Independent,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,4,5,178,-2,2,30,Male,7,Republican,asian,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,1|5,0|4,291,1,2,27,Female,3,Independent,african|arabic|other,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,4,5|0,82,2,2,37,Male,2,Democrat,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,1|5,3|4,109,1,2,42,Male,6,Republican,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,0|5,4,410,2,2,36,Female,5,Republican,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,1,4,259,0,2,39,Female,1,Democrat,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5|6,3|0|4,179,0,2,23,Female,2,Independent,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,1,4,50,-2,2,30,Male,1,Democrat,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,0|4|6,1|5,242,2,2,51,Female,6,Independent,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,0|5|1,3|0|4,63,1,2,48,Female,4,Independent,african,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,6,4,354,1,2,31,Female,2,Democrat,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5,4,69,0,2,27,Female,6,Republican,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5,4|2,230,0,2,20,Female,3,Independent,african,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,5,6,129,-1,2,41,Male,6,Republican,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5|1|6,1|0|4|6,375,1,2,22,Female,0,Republican,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,1,0,292,1,2,22,Female,2,Democrat,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5|1,4|0|3,96,1,2,22,Female,2,Independent,asian,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,0,5,182,-1,2,45,Female,6,Republican,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,0|4,2,24,-2,2,30,Female,4,Democrat,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5,4,320,1,2,43,Female,2,Independent,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,0|4,1|5,25,-1,2,34,Female,5,Democrat,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,0|1|4,0|1|5,310,2,2,29,Male,7,Republican,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,4|0,1|5,222,1,2,57,Female,5,Democrat,african,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5,4|0|3|1,422,1,2,30,Female,2,Democrat,hispanic,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,3|4|1|0|6,5,393,1,2,27,Male,4,Independent,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,1,0,108,1,2,56,Male,4,Democrat,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,0,5,263,-1,2,30,Male,6,Republican,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,3|4,1|0,323,2,2,27,Male,7,Republican,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,0|4|3,1|5,196,1,2,35,Female,7,Republican,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,1|3|4|5|2|0,1,44,1,2,23,Male,4,Independent,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5|1|0,4|0,276,-2,2,32,Female,4,Democrat,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,4|3|0|1,5,232,1,2,67,Male,4,Independent,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,3|4,3|4,334,-1,2,44,Female,6,Independent,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,0,1,75,2,2,32,Female,5,Republican,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5,4|0,378,2,2,26,Female,4,Independent,asian,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5|0,5|4,217,1,2,36,Female,2,Democrat,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,1|5,3|4|0,300,1,2,29,Male,3,Independent,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5,0,380,1,2,57,Female,5,Republican,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,0,5,214,0,2,31,Male,5,Republican,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5,5|0|1|4,328,0,2,35,Male,2,No,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5,0|4|3|2|6,74,2,2,50,Female,5,Independent,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5|1,2|4,184,0,2,29,Female,3,Independent,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,4|3|5|2|0,4|5|0,286,-1,2,24,Female,2,Democrat,african,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5,4,353,-2,2,36,Female,4,Democrat,hispanic,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,0|5|1,0|4|6,420,-1,2,30,Female,2,Independent,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,6,0|5|1,56,1,2,46,Female,7,Independent,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,6,5,372,-1,2,48,Female,6,Republican,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,4,5,239,-2,2,59,Female,5,Independent,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,4,5|1,148,2,2,40,Female,6,Independent,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5,1|6,18,-1,2,42,Female,3,Democrat,asian|hispanic,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,1|4|5,5,66,2,2,26,Female,7,Independent,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5|0,4|3,307,2,2,37,Female,4,Independent,african,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5|1,4|3|0,97,1,2,22,Male,1,Democrat,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,4|1|5|0,3|4|2,10,0,2,26,Female,4,Independent,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,0|5|3|1,4,33,0,2,42,Female,1,Democrat,african,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5,4,209,1,2,31,Female,6,Republican,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5,4,360,0,2,27,Female,2,Democrat,asian,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,1|0|5,0,35,0,2,26,Female,4,Democrat,hispanic,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,1,6,1,0,2,54,Female,3,Independent,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5,4,121,2,2,20,Female,5,Republican,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,1,3|0,301,1,2,21,Male,3,Other,hispanic,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5|1|0,4|0,57,-1,2,31,Female,3,Democrat,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,0,6,318,1,2,36,Female,2,Democrat,hispanic,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5|1,4|3|0,32,0,2,62,Male,2,Democrat,european,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5|1|0,3|2|4,206,0,2,34,Male,1,Democrat,hispanic,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5,4,258,2,2,32,Female,5,Republican,african,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,0,5,379,2,2,35,Female,5,Republican,african,–
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,6,6,105,1,2,34,Male,2,Independent,european,–
abdefect,Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,0,4|1,5|1,371,NA,1,27,Male,7,Democrat,european,us
abdefect,Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,0,4,1|5,284,NA,1,25,Male,7,Republican,european,us
abdefect,Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,1,1|5|0,5,403,NA,1,25,Female,0,Independent,european,us
abdefect,Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,1,0,4,195,NA,1,39,Female,4,Republican,european,us
abdefect,Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,1,1,0,118,NA,1,42,Male,0,Other,european,us
abdefect,Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,0,0,5,132,NA,1,37,Female,7,Republican,european,us
abdefect,Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,1,5,0|1|4,274,NA,1,31,Female,1,Democrat,european,us
abdefect,Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,1,1,0|1,123,NA,1,22,Female,4,Democrat,european,us
abdefect,Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,1,0,4|0,384,NA,1,47,Female,2,Democrat,european,us
abdefect,Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,0,4|0|3|1,0|3|5,294,NA,1,41,Male,5,Independent,european,us
abdefect,Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,1,5,5,9,NA,1,21,Female,2,Democrat,african,us
abdefect,Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,0,5|4|0|1,5|0|1,176,NA,1,25,Female,7,Republican,european,us
abdefect,Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,1,3|0|5|1,3|0|4,171,NA,1,23,Male,4,Independent,hispanic,us
abdefect,Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,1,5,0|4,339,NA,1,25,Male,5,Republican,european,us
